Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
9/26/2022,MERCHANT CREDIT TST* TASTE OF B,MERCHANT CREDIT TST* TASTE OF B,1.37,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"POPEYES 12563, MASON, OH","POPEYES 12563, MASON, OH",8.11,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"LEHRS PRIME MARKET, MILFORD, OH","LEHRS PRIME MARKET, MILFORD, OH",54.29,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,- 671001 UNITED DAIRY FA MILFORD,- 671001 UNITED DAIRY FA MILFORD,46.9,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,40,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"ASANDA IMPORTS LTD, YELLOW SPRIN","ASANDA IMPORTS LTD, YELLOW SPRIN",90.51,debit,Business Services,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"TOM & CHEE LEVEE Q, NEWPORT, KY","TOM & CHEE LEVEE Q, NEWPORT, KY",11.1,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,- 040202 KROGER #4 6950 MIAMI A,- 040202 KROGER #4 6950 MIAMI A,23.41,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,- 627401 UNITED DAIRY FA CINCINN,- 627401 UNITED DAIRY FA CINCINN,8.56,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"P&G GARAGE, CINCINNATI, OH","P&G GARAGE, CINCINNATI, OH",3,debit,Parking,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/23/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,45.86,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"LS PANGAEA TRADING, YELLOW SPRIN","LS PANGAEA TRADING, YELLOW SPRIN",19.22,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"TST* By Gollys, Milford, OH","TST* By Gollys, Milford, OH",17,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,VITAMINSHOPPE643 - 104 3831 EDWA,VITAMINSHOPPE643 - 104 3831 EDWA,115.3,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,WAL-MART #2250 - 225001 4000 RED,WAL-MART #2250 - 225001 4000 RED,56.75,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",14.85,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"SHELL OIL 57444702, CINCINNATI,","SHELL OIL 57444702, CINCINNATI,",36.66,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"APPFOLIO *PROSP, 8666481536, KY","APPFOLIO *PROSP, 8666481536, KY",45,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/23/2022,"DD DOORDASH CLOUD9, 8559731040,","DD DOORDASH CLOUD9, 8559731040,",39.89,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-23T00:00:00
9/22/2022,NNT WANDER AND W - 543440 241 XE,NNT WANDER AND W - 543440 241 XE,7.46,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
9/22/2022,EARLY PAY: Total Qualit-OSV EDIP,EARLY PAY: Total Qualit-OSV EDIP,1022,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
9/22/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",1.86,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
9/22/2022,"WAFFLE HOUSE 2360, MILFORD, OH","WAFFLE HOUSE 2360, MILFORD, OH",33,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
9/22/2022,NNT EMPORIUM WIN - 320785 233 XE,NNT EMPORIUM WIN - 320785 233 XE,21.84,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
